Gestionnaire,RaisonSociale,categ,info_categ,Commune,NomCommune,Pollution,PopLegaleTotale,
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31121,Castéra Vignoles,O,63,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31122,Casties Labrande,O,96,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31123,Castillon de Larboust,O,66,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31124,Castillon de Saint Martory,O,322,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31125,Cathervielle,O,36,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31126,Caubiac,O,243,1
31127000A,COMMUNE DE CAUBOUS ,2A01,Communes du bassin,31127,Caubous,O,7,1
31206001A,S.I. DES EAUX DE LA RIVE GAUCHE DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31128,Caujac,O,608,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31129,Cazaril Laspènes,O,22,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31130,Cazaril Tambourès,O,80,1
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31131,Cazaunous,O,66,1
31132000A,COMMUNE DE CAZAUX LAYRISSE ,2A01,Communes du bassin,31132,Cazaux Layrisse,O,70,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31133,Cazeaux de Larboust,O,93,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31134,Cazeneuve Montaut,O,63,1
31135002A,REGIE D'EAU ET D'ASSAINISSEMENT DE CAZERES-COULADERE,2C02,Eau ou assainissement,31135,Cazères,O,4409,1
31490001A,S.I.A.E.P. DE LA REGION DE ST JORY CASTELNAU D'ESTRETEFONDS,3D04,"Syndicat d'assainisement, eau potable",31136,Cépet,O,1512,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31137,Cessales,O,139,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31138,Charlas,O,222,1
31471001A,S.I. DES EAUX DE LA REGION DE ST BEAT ,3D04,"Syndicat d'assainisement, eau potable",31139,Chaum,O,211,1
