city_code,city_name,population,lat,lng,public_gestion,price
31121, Castéra-Vignoles ,63,43.283333,0.783333,0,1.342
31122, Casties-Labrande ,96,43.333333,1,1,1.424
31123, Castillon-de-Larboust ,66,42.8,0.533333,1,0
31124, Castillon-de-Saint-Martory ,322,43.133333,0.866667,0,1.342
31125, Cathervielle ,36,42.816667,0.516667,1,0
31126, Caubiac ,243,43.716667,1.083333,1,1.413
31128, Caujac ,608,43.3,1.466667,1,0
31129, Cazaril-Laspènes ,22,42.8,0.583333,1,0
31130, Cazaril-Tambourès ,80,43.183333,0.533333,0,1.342
31131, Cazaunous ,66,42.983333,0.733333,1,1.112
31132, Cazaux-Layrisse ,70,42.866667,0.6,1,0
31133, Cazeaux-de-Larboust ,93,42.8,0.533333,1,0
31134, Cazeneuve-Montaut ,63,43.183333,0.866667,0,1.342
31135, Cazères ,4409,43.216667,1.083333,1,0.0
31136, Cépet ,1512,43.75,1.433333,1,1.6
31137, Cessales ,139,43.45,1.733333,1,1.325
31138, Charlas ,222,43.233333,0.7,0,1.342
31139, Chaum ,211,42.933333,0.65,1,1.224
31140, Chein-Dessus ,197,43.016667,0.883333,1,0
31141, Ciadoux ,252,43.266667,0.733333,0,1.342
31142, Cier-de-Luchon ,249,42.85,0.6,1,0
31143, Cier-de-Rivière ,259,43.066667,0.633333,1,0
31145, Cintegabelle ,2631,43.316667,1.533333,1,0
31146, Cirès ,12,42.85,0.516667,1,0
31148, Clermont-le-Fort ,533,43.45,1.433333,1,1.532
31149, Colomiers ,33494,43.616667,1.35,1,0.983
31150, Cornebarrieu ,5688,43.65,1.333333,1,0.983
31151, Corronsac ,685,43.466667,1.5,1,1.532
31152, Coueilles ,90,43.35,0.883333,0,1.342
31153, Couladère ,442,43.2,1.1,1,1.3
31155, Couret ,196,43.05,0.816667,1,1.197
31156, Cox ,331,43.766667,1.05,1,1.413
31157, Cugnaux ,16128,43.533333,1.366667,1,1.09
31158, Cuguron ,195,43.1,0.55,0,1.342
31159, Le Cuing ,406,43.15,0.6,0,1.342
31160, Daux ,1746,43.7,1.25,1,1.413
31161, Deyme ,904,43.483333,1.533333,1,1.532
31162, Donneville ,1118,43.466667,1.55,1,1.532
31163, Drémil-Lafage ,2638,43.6,1.6,1,1.325
31164, Drudas ,189,43.75,1.116667,1,1.413
31165, Eaunes ,4433,43.416667,1.35,1,1.366
31166, Empeaux ,218,43.533333,1.083333,1,1.424
31167, Encausse-les-Thermes ,654,43.05,0.75,1,1.112
31168, Éoux ,117,43.266667,0.9,0,1.342
31169, Escalquens ,5835,43.516667,1.566667,1,1.532
31170, Escanecrabe ,255,43.283333,0.75,0,1.342
31171, Espanès ,276,43.45,1.483333,1,1.532
31172, Esparron ,51,43.266667,0.816667,0,1.342
31173, Esperce ,248,43.3,1.4,1,0
31174, Estadens ,503,43.033333,0.85,1,0
31175, Estancarbon ,575,43.1,0.783333,0,1.342
31176, Esténos ,183,42.95,0.633333,1,0
31177, Eup ,146,42.933333,0.683333,1,1.224
31179, Le Faget ,356,43.566667,1.833333,1,1.325
31180, Falga ,105,43.483333,1.866667,1,1.325
31181, Le Fauga ,1714,43.4,1.283333,1,1.424
31182, Fenouillet ,5144,43.683333,1.4,0,1.115
31183, Figarol ,286,43.083333,0.9,1,1.197
31184, Flourens ,1795,43.6,1.566667,1,0
31185, Folcarde ,122,43.4,1.8,1,1.325
31186, Fonbeauzard ,2849,43.683333,1.45,0,1.115
31187, Fonsorbes ,11373,43.533333,1.233333,1,1.424
31188, Fontenilles ,3979,43.55,1.2,1,1.424
