Departement,CodeINSEE,Nom commune,prix
31,31181,LE FAUGA                                          ,1.424
31,31182,FENOUILLET                                        ,1.115
31,31183,FIGAROL                                           ,1.197
31,31185,FOLCARDE                                          ,1.325
31,31186,FONBEAUZARD                                       ,1.115
31,31187,FONSORBES                                         ,1.424
31,31188,FONTENILLES                                       ,1.424
31,31189,FORGUES                                           ,1.424
31,31191,FOUGARON                                          ,1.197
31,31192,FOURQUEVAUX                                       ,1.532
31,31193,LE FOUSSERET                                      ,1.424
31,31194,FRANCARVILLE                                      ,1.325
31,31196,FRANCON                                           ,1.342
31,31197,FRANQUEVIELLE                                     ,1.342
31,31198,LE FRECHET                                        ,1.342
31,31199,FRONSAC                                           ,1.224
31,31200,FRONTIGNAN-DE-COMMINGES                           ,0.9
31,31201,FRONTIGNAN-SAVES                                  ,1.342
31,31202,FRONTON                                           ,
31,31204,FUSTIGNAC                                         ,1.424
31,31205,GAGNAC-SUR-GARONNE                                ,1.115
31,31206,GAILLAC-TOULZA                                    ,1.3
31,31207,GALIE                                             ,1.342
31,31208,GANTIES                                           ,1.197
31,31209,GARAC                                             ,1.413
31,31211,GARGAS                                            ,1.6
31,31212,GARIDECH                                          ,1.726
31,31215,GAURE                                             ,1.325
31,31216,GEMIL                                             ,1.726
31,31217,GENOS                                             ,1.165
31,31218,GENSAC-DE-BOULOGNE                                ,1.342
31,31219,GENSAC-SUR-GARONNE                                ,1.3
31,31223,GOUDEX                                            ,1.342
31,31224,GOURDAN-POLIGNAN                                  ,1.342
31,31225,GOUTEVERNISSE                                     ,1.3
31,31226,GOUZENS                                           ,1.3
31,31227,GOYRANS                                           ,1.532
31,31228,GRAGNAGUE                                         ,1.325
31,31229,GRATENS                                           ,1.424
31,31230,GRATENTOUR                                        ,1.115
31,31232,GRENADE                                           ,1.6
31,31234,LE GRES                                           ,1.413
31,31236,HERRAN                                            ,1.197
31,31237,HIS                                               ,1.197
31,31238,HUOS                                              ,1.342
31,31239,L'ISLE-EN-DODON                                   ,1.342
31,31240,ISSUS                                             ,1.532
31,31241,IZAUT-DE-L'HOTEL                                  ,1.112
31,31243,JUZES                                             ,1.325
31,31245,JUZET-D'IZAUT                                     ,1.112
31,31246,LABARTHE-INARD                                    ,1.342
31,31247,LABARTHE-RIVIERE                                  ,1.07
31,31248,LABARTHE-SUR-LEZE                                 ,1.366
31,31249,LABASTIDE-BEAUVOIR                                ,1.532
31,31250,LABASTIDE-CLERMONT                                ,1.424
31,31251,LABASTIDE-PAUMES                                  ,1.342
31,31252,LABASTIDE-SAINT-SERNIN                            ,1.115
31,31253,LABASTIDETTE                                      ,1.424
