Y2RfSlVOQ0FTUzAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",AMICALE LOCATAIRES CITE JUNCASSE,Associations,77 RUE LOUIS PLANA,31500,TOULOUSE,750,0,0
Y2RfVElOVE9SRTAwMnwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",AMICALE TINTORET - DOTTIN,Associations,11 RUE DOTTIN,31100,TOULOUSE,1000,0,0
Y2RfQU5JTUFUSTAwMnwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ANIMATION BAS D'IMMEUBLES,Associations,2 CHEMINEMENT JEAN WIENER,31100,TOULOUSE,65656,0,0
Y2RfQVBJRkVSQTAxfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",APIFERA,Associations,10 rue de l Allier,31200,TOULOUSE,1500,0,0
Y2RfQVBTRU0wMDF8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",APSEM ASSOCIATION POPULAIRE SOCIO EDUCATIVE DES MIGRANTS,Associations,10 RUE ERIK SABATIE,31914,TOULOUSE,10500,0,0
Y2RfQVJDRUMwMDF8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ARCEC ASSOCIATION REGION DE CONSEILLERS ENTREPRISES & COLLECTIVITES,Associations,3 CHEMINEMENT ROBERT CAMBERT,31100,TOULOUSE,10300,0,0
Y2RfQVJHQTAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ARGA CASTAING IMMOBILIER,Entreprises,15 RUE BAYARD,31000,TOULOUSE,0,0,1454
Y2RfT0NEUk9HVTAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ARPADE - OC DROGUE,Associations,3B RUE BERTHELOT,31500,TOULOUSE,69500,0,0
Y2RfQVJUSVZJVDAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ARTIVITY - FESTIVAL MOOVE LES MINIMES - CARNAVAL DES QUARTIERS NORD - REVES D'UN MONDE - AIDE AU DEVELOPPEMENT,Associations,8 RUE ANTOINE PUGET,31200,TOULOUSE,9500,0,0
Y2RfQVNDQzAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASCC ASSOCIATION SPORTIVE ET CULTURELLE DE LA COLONNE,Associations,14 AVENUE GEORGES POMPIDOU,31500,TOULOUSE,0,0,0
Y2RfSVpBUkRTMDAzfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASE ASSOCIATION SOCIO EDUCATIVE DES IZARDS,Associations,2 RUE GELIBERT,31022,TOULOUSE,29980,0,0
Y2RfQVNFQ1NNRjAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASECSMF ASSOCIATION SOCIALE EDUCATION CULTURELLE SOLIDARITE MAGHREBINS DE France,Associations,9 CHEMIN DU RAMELET MOUNDI,31100,TOULOUSE,13700,0,0
Y2RfREFTVEUwMDF8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASEDE ASSOCIATION SOCIO EDUCATIVE DASTE EMPALOT,Associations,83 RUE DU FERETRA,31400,TOULOUSE,38500,0,0
Y2RfQVNFTTAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASEM ASSOCIATION SOCIO EDUCATIVE CLUB DE PREVENTION DU MIRAIL,Associations, ,31036,TOULOUSE,34000,0,0
Y2RfQVNFVEUwMDF8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASETE ASSOCIATION SOCIO EDUCATIVE DE TOULOUSE EST,Associations,3 IMPASSE CALVINET,31500,TOULOUSE,0,0,0
Y2RfQk9OSE9VUjAwNXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASS QUARTIERS BONHOURE GUILLEMERIE MOSCOU,Associations,42 RUE HENRIETTE ACHIARY,31500,TOULOUSE,1000,0,0
Y2RfUE9OVERFTTAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASS.SOC.EDUCAT.PONT DEMOISELLES,Associations,2 PLACE MENDES FRANCE,31400,TOULOUSE,0,0,0
Y2RfQkVMTEVGTzAwNHwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASSOCIATION BELLEFONTAINE,Associations,25 PASSAGE PERGAUD APPT 35,31100,TOULOUSE,0,0,0
Y2RfQ1BFMDAxfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASSOCIATION COMPETENCES PLURI ENTREPRISES DE LA HAUTE GARONNE,Associations,95 GRANDE RUE ST MICHEL,31400,TOULOUSE,1500,0,0
Y2RfQ09VUExFMDAxfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASSOCIATION COUPLES ET FAMILLES DE TOULOUSE,Associations,2 RUE SAINT JEAN,31000,TOULOUSE,8000,0,0
Y2RfRkFDRTAwMnwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASSOCIATION FACE GRAND TOULOUSE,Associations,19 RUE BAYARD,31000,TOULOUSE,42000,0,0
Y2RfQU5DMDAxfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASSOCIATION NEGRENEYS CURIE,Associations,63 RUE DE TUNIS,31200,TOULOUSE,14000,0,0
Y2RfQ0hBTEVUUzAwM3wyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASSOCIATION QUARTIER CHALETS CONCORDE ROQUELAINE,Associations,15 RUE LA CONCORDE,31000,TOULOUSE,3200,0,0
